model,fold,split_type,seed,mae_all,mae_peak,pinball_p90,score
yesterday_same_hour,fold1,tuning,,152.0758514404297,152.0758514404297,27.758359909057617,127.21235313415528
ridge_flattened,fold1,tuning,,578.452880859375,578.452880859375,95.8763198852539,481.9375686645508
deep_model_seed,fold1,tuning,17,172.95513916015625,172.95513916015625,57.999324798583984,149.9639762878418
deep_model_seed,fold1,tuning,23,167.934814453125,167.934814453125,40.51084899902344,142.4500213623047
deep_model_seed,fold1,tuning,41,176.0006866455078,176.0006866455078,58.07026290893555,152.41460189819338
deep_model_ensemble_raw,fold1,tuning,,163.11981201171875,163.11981201171875,50.42937088012695,140.58172378540038
yesterday_same_hour,fold2,tuning,,198.76466369628906,113.30704498291016,30.728342056274414,139.52011375427247
ridge_flattened,fold2,tuning,,188.6533203125,125.19921875,36.39082336425781,139.16459045410159
deep_model_seed,fold2,tuning,17,197.1140899658203,422.6781311035156,82.52063751220703,241.86461181640624
deep_model_seed,fold2,tuning,23,206.12660217285156,404.9325256347656,52.766780853271484,235.09641494750974
deep_model_seed,fold2,tuning,41,229.01434326171875,378.9150085449219,82.9390640258789,244.7694869995117
deep_model_ensemble_raw,fold2,tuning,,197.7556610107422,402.17523193359375,57.83214569091797,231.09682922363282
yesterday_same_hour,fold3,tuning,,234.6151885986328,207.4084014892578,59.87879943847656,191.50587463378906
ridge_flattened,fold3,tuning,,238.7763671875,323.4956970214844,85.67060852050781,233.57101440429688
deep_model_seed,fold3,tuning,17,241.22621154785156,220.42886352539062,44.82780838012695,195.70732650756838
deep_model_seed,fold3,tuning,23,268.8974304199219,419.17889404296875,73.72859954833984,274.9481033325195
deep_model_seed,fold3,tuning,41,269.1734313964844,200.71832275390625,42.125343322753906,203.22728118896487
deep_model_ensemble_raw,fold3,tuning,,255.56021118164062,280.1086730957031,48.510494232177734,221.5148063659668
yesterday_same_hour,holdout,holdout,,122.62820434570312,122.62820434570312,26.893619537353516,103.4812873840332
ridge_flattened,holdout,holdout,,135.1332244873047,135.1332244873047,35.98883819580078,115.30434722900391
deep_model_seed,holdout,holdout,17,146.69496154785156,146.69496154785156,72.16930389404297,131.78983001708986
deep_model_seed,holdout,holdout,23,101.68567657470703,101.68567657470703,20.950061798095703,85.53855361938477
deep_model_seed,holdout,holdout,41,90.84001922607422,90.84001922607422,16.90216827392578,76.05244903564453
deep_model_ensemble_raw,holdout,holdout,,76.90962219238281,76.90962219238281,13.615476608276367,64.25079307556153
deep_model_ensemble_calibrated,holdout,holdout,,76.90962219238281,76.90962219238281,24.60016632080078,66.4477310180664
