window_index,window_start,window_end,model_name,mae_all,mae_peak,pinball_p90,combined,peak_threshold,n_records,n_peak_records
0,2025-12-29T07:00:00Z,2026-01-01T06:00:00Z,baseline,115.22807210228919,55.53552117340567,23.699418474945098,79.01457609815532,984.3950542397997,72.0,11.0
0,2025-12-29T07:00:00Z,2026-01-01T06:00:00Z,random_forest,85.19856856059154,76.73298521298398,20.15312249435806,69.64980434306258,984.3950542397997,72.0,11.0
0,2025-12-29T07:00:00Z,2026-01-01T06:00:00Z,final_blend,97.4291427076704,61.36507541632871,14.650504900893603,70.05419495891253,984.3950542397997,72.0,11.0
1,2026-01-01T07:00:00Z,2026-01-04T06:00:00Z,baseline,65.47175239174753,47.669223101557805,26.169345416448788,52.270512209630866,935.3664134165842,72.0,11.0
1,2026-01-01T07:00:00Z,2026-01-04T06:00:00Z,random_forest,50.722637175020935,78.05889012080759,12.806421429524367,51.34026990965762,935.3664134165842,72.0,11.0
1,2026-01-01T07:00:00Z,2026-01-04T06:00:00Z,final_blend,57.43784040118984,63.00047944848384,15.474892614132646,50.7140425579666,935.3664134165842,72.0,11.0
2,2026-01-04T07:00:00Z,2026-01-07T06:00:00Z,baseline,43.624042298114354,41.749602759132614,24.235097905430468,39.18392155788305,842.7903023550782,72.0,11.0
2,2026-01-04T07:00:00Z,2026-01-07T06:00:00Z,random_forest,99.42103477950913,63.05470087919037,14.731443753095268,71.57321640413073,842.7903023550782,72.0,11.0
2,2026-01-04T07:00:00Z,2026-01-07T06:00:00Z,final_blend,51.13603210305313,11.246694061580435,20.87287271913078,33.116598813826855,842.7903023550782,72.0,11.0
3,2026-01-07T07:00:00Z,2026-01-10T06:00:00Z,baseline,60.95537955982859,116.46659450463659,17.884500058500542,68.99456814300538,996.2952520112904,72.0,11.0
3,2026-01-07T07:00:00Z,2026-01-10T06:00:00Z,random_forest,46.050166180247714,84.55560073650216,12.1762630449289,50.827015920060276,996.2952520112904,72.0,11.0
3,2026-01-07T07:00:00Z,2026-01-10T06:00:00Z,final_blend,52.08100014721596,98.0918980652393,9.540402672444806,57.37615002766873,996.2952520112904,72.0,11.0
